m,n_team,k,rule,seed,ok,runtime
3,2,3,2-approval,15,True,0.00013409997336566448
3,2,3,2-approval,16,False,5.91999851167202e-05
3,2,3,2-approval,17,True,0.00013189995661377907
3,2,3,2-approval,18,False,5.659996531903744e-05
3,2,3,2-approval,19,False,6.889994256198406e-05
3,2,3,2-approval,20,False,7.650000043213367e-05
3,2,3,2-approval,21,False,9.280000813305378e-05
3,2,3,2-approval,22,True,0.0001666999887675047
3,2,3,2-approval,23,False,5.6999968364834785e-05
3,2,3,2-approval,24,False,5.869986489415169e-05
3,2,3,2-approval,25,False,9.66999214142561e-05
3,2,3,2-approval,26,False,8.800020441412926e-05
3,2,3,2-approval,27,False,5.3900061175227165e-05
3,2,3,2-approval,28,True,0.0001775000710040331
3,2,3,2-approval,29,False,6.769993342459202e-05
3,2,3,2-approval,30,False,6.790016777813435e-05
3,2,3,2-approval,31,False,6.720004603266716e-05
3,2,3,2-approval,32,False,0.00010139984078705311
3,2,3,2-approval,33,False,6.369990296661854e-05
3,2,3,2-approval,34,False,6.640003994107246e-05
3,2,3,2-approval,35,False,5.679996684193611e-05
3,2,3,2-approval,36,False,5.91999851167202e-05
3,2,3,2-approval,37,False,6.0900114476680756e-05
3,2,3,2-approval,38,True,0.00012400001287460327
3,2,3,2-approval,39,False,6.029987707734108e-05
3,2,3,2-approval,40,True,0.0001238000113517046
3,2,3,2-approval,41,False,6.369990296661854e-05
3,2,3,2-approval,42,False,5.6999968364834785e-05
3,2,3,2-approval,43,False,8.020014502108097e-05
3,2,3,2-approval,44,False,6.54999166727066e-05
3,2,3,2-approval,45,False,6.38000201433897e-05
3,2,3,2-approval,46,True,0.00025839987210929394
3,2,3,2-approval,47,False,0.0001151000615209341
3,2,3,2-approval,48,True,0.00013950001448392868
3,2,3,2-approval,49,True,0.00017199991270899773
3,2,3,veto,0,False,7.30000901967287e-05
3,2,3,veto,1,True,0.00022529996931552887
3,2,3,veto,2,False,5.9999991208314896e-05
3,2,3,veto,3,False,6.019999273121357e-05
3,2,3,veto,4,True,0.0001484001986682415
3,2,3,veto,5,True,0.00016399985179305077
3,2,3,veto,6,False,7.46001023799181e-05
3,2,3,veto,7,False,5.810009315609932e-05
3,2,3,veto,8,False,5.45999500900507e-05
3,2,3,veto,9,False,5.779997445642948e-05
3,2,3,veto,10,False,5.9300102293491364e-05
3,2,3,veto,11,True,0.0001617001835256815
3,2,3,veto,12,False,5.650008097290993e-05
3,2,3,veto,13,True,0.00012980005703866482
3,2,3,veto,14,False,5.8999983593821526e-05
3,2,3,veto,15,True,0.00018239999189972878
3,2,3,veto,16,False,6.120000034570694e-05
3,2,3,veto,17,True,0.0001539001241326332
3,2,3,veto,18,False,5.8399979025125504e-05
3,2,3,veto,19,False,6.070011295378208e-05
3,2,3,veto,20,False,5.5999960750341415e-05
3,2,3,veto,21,False,5.2099814638495445e-05
3,2,3,veto,22,True,0.0001191999763250351
3,2,3,veto,23,False,6.969994865357876e-05
3,2,3,veto,24,False,5.119992420077324e-05
3,2,3,veto,25,False,5.359994247555733e-05
3,2,3,veto,26,False,5.679996684193611e-05
3,2,3,veto,27,False,6.839982233941555e-05
3,2,3,veto,28,True,0.0001913001760840416
3,2,3,veto,29,False,5.959998816251755e-05
3,2,3,veto,30,False,5.5900076404213905e-05
3,2,3,veto,31,False,5.67000824958086e-05
3,2,3,veto,32,False,5.7399971410632133e-05
3,2,3,veto,33,False,5.439994856715202e-05
3,2,3,veto,34,False,5.269981920719147e-05
3,2,3,veto,35,False,6.580003537237644e-05
3,2,3,veto,36,False,5.550007335841656e-05
3,2,3,veto,37,False,5.5999960750341415e-05
3,2,3,veto,38,True,0.00012569990940392017
3,2,3,veto,39,False,7.219985127449036e-05
3,2,3,veto,40,True,0.00019180006347596645
3,2,3,veto,41,False,6.680004298686981e-05
3,2,3,veto,42,False,5.950010381639004e-05
3,2,3,veto,43,False,5.479995161294937e-05
3,2,3,veto,44,False,6.340001709759235e-05
3,2,3,veto,45,False,6.140000186860561e-05
3,2,3,veto,46,True,0.00013509998098015785
3,2,3,veto,47,False,8.990010246634483e-05
3,2,3,veto,48,True,0.00012969993986189365
3,2,3,veto,49,True,0.00019660010002553463
3,2,3,borda,0,False,5.3900061175227165e-05
