m,n_team,rule,seed,ok,runtime
3,3,plurality,4,True,0.00013919989578425884
3,3,plurality,5,True,9.220000356435776e-05
3,3,plurality,6,False,6.390013732016087e-05
3,3,plurality,7,True,0.00010469998233020306
3,3,plurality,8,False,0.0001276000402867794
3,3,plurality,9,True,0.00010280008427798748
3,3,plurality,10,False,7.830001413822174e-05
3,3,plurality,11,True,0.00010429997928440571
3,3,plurality,12,False,8.440017700195312e-05
3,3,plurality,13,True,9.350012987852097e-05
3,3,plurality,14,False,0.00010040006600320339
3,3,plurality,15,False,6.3000014051795e-05
3,3,plurality,16,False,6.209989078342915e-05
3,3,plurality,17,False,6.800005212426186e-05
3,3,plurality,18,False,6.880005821585655e-05
3,3,plurality,19,False,6.720004603266716e-05
3,3,plurality,20,False,0.00020829983986914158
3,3,plurality,21,False,0.0001862999051809311
3,3,plurality,22,True,0.00010940013453364372
3,3,plurality,23,False,0.00010080006904900074
3,3,plurality,24,False,6.209989078342915e-05
3,3,plurality,25,False,9.530014358460903e-05
3,3,plurality,26,False,6.54999166727066e-05
3,3,plurality,27,True,0.0001412997953593731
3,3,plurality,28,True,0.00011330004781484604
3,3,plurality,29,True,0.00012360000982880592
3,3,plurality,30,False,6.529991514980793e-05
3,3,plurality,31,False,6.320001557469368e-05
3,3,plurality,32,False,8.859997615218163e-05
3,3,plurality,33,False,7.160007953643799e-05
3,3,plurality,34,False,6.3000014051795e-05
3,3,plurality,35,False,7.389998063445091e-05
3,3,plurality,36,False,6.0999998822808266e-05
3,3,plurality,37,False,9.900005534291267e-05
3,3,plurality,38,False,6.680004298686981e-05
3,3,plurality,39,False,0.00012720003724098206
3,3,plurality,40,False,6.760004907846451e-05
3,3,plurality,41,False,0.0001401000190526247
3,3,plurality,42,True,0.00017339992336928844
3,3,plurality,43,False,0.00011359993368387222
3,3,plurality,44,False,0.0001403999049216509
3,3,plurality,45,False,6.509991362690926e-05
3,3,plurality,46,True,0.0001379000023007393
3,3,plurality,47,False,9.940005838871002e-05
3,3,plurality,48,False,6.390013732016087e-05
3,3,plurality,49,False,5.689985118806362e-05
3,3,2-approval,0,False,0.00010710000060498714
3,3,2-approval,1,False,6.08998816460371e-05
3,3,2-approval,2,False,6.869994103908539e-05
3,3,2-approval,3,False,0.00010689999908208847
3,3,2-approval,4,True,0.00011389981955289841
3,3,2-approval,5,True,0.00010400009341537952
3,3,2-approval,6,False,7.260008715093136e-05
3,3,2-approval,7,False,0.00016709999181330204
3,3,2-approval,8,False,6.350013427436352e-05
3,3,2-approval,9,True,0.00010740011930465698
3,3,2-approval,10,False,7.149996235966682e-05
3,3,2-approval,11,True,0.00014340016059577465
3,3,2-approval,12,False,9.659980423748493e-05
3,3,2-approval,13,True,0.00016479985788464546
3,3,2-approval,14,False,0.0002943000290542841
3,3,2-approval,15,False,0.00014060013927519321
3,3,2-approval,16,False,8.079991675913334e-05
3,3,2-approval,17,False,6.450014188885689e-05
3,3,2-approval,18,False,6.930017843842506e-05
3,3,2-approval,19,False,0.00011049979366362095
